HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
73158900,"Chain, nes, of iron or steel  .",Kg,13507,2634.661854,0.002635,827.39
73159000,"Parts of chains, nes, of iron or steel",Kg,1242.084996,449.004224,0.000449,138.148
73160000,"Anchors, grapnels and parts thereof, of ir  n or steel",Kg,11400.637,4402.108854,0.004402,1347.254
73170000,"Nails, tacks, drawing pins, corrugated nai  s of iron or steel",Kg,157496.760047,25421.021565,0.025421,13818.314
73181100,Coach screws of iron or steel,Kg,48702.253762,8689.396864,0.008689,2704.42
73181200,Wood screws (excl coach screws) of iron o r steel,Kg,23772.300003,3603.347038,0.003603,884.968
73181300,Screw hooks and screw rings of iron or ste  l,Kg,1079.729998,463.128145,0.000463,137.684
73181400,Self-tapping screws of iron or steel  .,Kg,188741.547403,38605.350974,0.038605,12083.267
73181500,"Screws and bolts of iron or steel, nes",Kg,459787.006389,120144.526498,0.120145,28933.887
73181600,Nuts of iron or steel,Kg,81357.376215,21008.05152,0.021008,5481.633
73181900,"Threaded articles, nes, of iron or steel  .",Kg,40869.266496,7764.515674,0.007765,2055.131
73182100,Spring washers and other lock washers of i  on or steel.,Kg,6366.621862,2346.631275,0.002347,679.842
73182200,"Washers of iron or steel, nes",Kg,25527.564344,5821.856145,0.005822,2083.581
73182300,Rivets of iron or steel,Kg,2702.685999,2251.699138,0.002252,439.395
73182400,Cotters and cotter-pins,Kg,1605.188069,879.980665,0.00088,261.069
73182900,"Non-threaded articles, nes, of iron or ste  l",Kg,2753.930398,3245.499551,0.003245,977.093
73194000,Safety pins and other pins,Kg,4735.45,2345.850984,0.002346,704.111
73199000,"Sewing needles, knitting needles, bodkins,  crochet hooks, etc, of iron or steel.",Kg,699.882,585.08226,0.000585,109.808
73201010,springs and leaves for springs of iron or   teel for Rickshaws,Kg,466.442,460.724518,0.000461,86.076
73201090,springs and leaves for spring of iron or s  eel for vehicles other than Rickshaws,Kg,159711.402074,27178.282548,0.027178,7646.399
73202000,Helical springs,Kg,2250.294003,1066.364372,0.001066,282.346
73209000,"Springs, nes, of iron or steel",Kg,29475.437379,10424.392958,0.010424,2903.993
73211100,"Cooking appliances, plate warmers, for gas  fuel of iron or steel",PCS,69619,44032.921163,0.044033,10062.58
73211200,"Cooking appliances, plate warmers, for liq  id fuel of iron or steel.",PCS,3,33.701689,0.000034,8.191
73211900,"Other cooking appliances & plate warmers,   ncluding appliances for solid fuel",PCS,39066,47677.182393,0.047677,6813.64
73218100,"Appliances,(excl cookers) for gas fuel  or  or both gas and other fuels,of iro",PCS,4,74.638242,0.000075,18.138
73218900,"Othe appliances, including appliances for   olid fuel, nes",PCS,896,1215.0666,0.001215,297.957
73219000,"Parts of appliances of 732111 to 732189,  o  iron or steel",PCS,358856,15454.456358,0.015454,2888.449
73221100,"Radiators, not electrically heated, and pa  ts thereof of cast iron",Kg,2,2.08195,0.000002,0.625
73221900,"Radiators, not electrically heated, and pa  ts thereof of iron or steel",Kg,12206.799805,20651.088,0.020651,6185.002
73229000,"Air heaters/hot air distributors, nes ( non electric) of iron/steel",Kg,66,7442.5265,0.007443,2229.171
73231000,"Iron or steel wool, pot scourers, scouring  or polishing pads, gloves",Kg,29331.609985,6859.396588,0.006859,1621.961
73239100,"Table, kitchen or household articles of  ca t iron, not enamelled",Kg,50290.930034,14843.438353,0.014843,3149.528
73239200,"Table, kitchen or household articles of  ca t iron, enamelled",Kg,5790.599975,2407.885103,0.002408,865.062
73239300,"Table, kitchen or household articles of  st inless steel",Kg,257450.646132,147998.989753,0.147999,42750.235
73239400,"Table, kitchen or household articles of  ir n or steel, enamelled",Kg,45834.649036,9738.708324,0.009739,3053.211
73239900,"Table, kitchen or household articles of  ir n or steel, nes.",Kg,24139.444085,14118.952523,0.014119,4667.594
73241000,"Sinks and wash basins, of stainless steel   .",PCS,31147,37699.765503,0.0377,13698.462
73242900,Baths of iron (excl cast) or steel   .,PCS,126298,18500.519824,0.018501,6450.715
73249010,Sanitary ware and parts of sanitary ware o   iron or steel,PCS,10743,597.867636,0.000598,225.34
73249090,Sanitary ware and parts of sanitary ware o   iron or steel,PCS,74357,19993.780786,0.019994,7318.881
73251000,"Articles of non-malleable cast iron, nes  .",Kg,2846.040001,668.766552,0.000669,200.518
73259100,Grinding balls and similar articles for mi  ls of iron or steel.,Kg,12,3.87809,0.000004,1.199
73259900,"Cast articles of iron or steel, nes",Kg,29569.465552,4790.256865,0.00479,1208.805
73261100,"Grinding balls for mills, forged or sta mpe , of iron or steel",Kg,2.0004,4.83684,0.000005,1.452
73261900,"Forged or stamped articles of iron or stee  , nes",Kg,48969.1807,16742.126322,0.016742,4786.256
73262000,"Articles of iron or steel wire, nes",Kg,267832.45966,38146.482242,0.038146,9042.547
73269000,"Articles of iron or steel, nes   .",Kg,158610.25545,44141.815533,0.044142,11427.389
74031100,Cathodes and sections of cathodes of refin  d copper,Kg,20.860001,47.866809,0.000048,8.928
74032100,"Brass, unwrought  .",Kg,102,98.077133,0.000098,18.359
74032900,"Copper (excl master alloys or heading 74 05  nes, unwrought.",Kg,1,0.50834,0.000001,0.096
74040000,Copper waste and scrap,Kg,29607,59137.00025,0.059137,8350.033
74061000,Copper powders of non-lamellar structure  .,Kg,1,7.72772,0.000008,1.442
74062000,Copper powders of lamellar structure; flak  s,Kg,50,32.12867,0.000032,5.993
74071000,"Bars, rods and profiles of refined copper",Kg,11919.379773,25063.413799,0.025063,4674.628
74072100,"Bars,rods and profiles of brass",Kg,19980.900391,27454.288,0.027454,3879.357
74072900,"Bars, rods and profiles of copper alloys,   es",Kg,21.781,164.124,0.000164,30.784
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",Kg,468584.700001,996436.13136,0.996436,185774.501
74081900,"Wire of refined copper, maximum cross-sect  onal dimension =<6mm",Kg,73201.555774,164237.175188,0.164237,30631.672
74082100,Wire of brass  .,Kg,28.76,58.135141,0.000058,10.844
74082200,Wire of cupro-nickel or nickel silver,Kg,5,4.19816,0.000004,0.784
74082900,"Wire of copper alloy, nes",Kg,478.814,793.841728,0.000794,148.129
74091100,"Plates, sheets and strip, of refined coppe  , in coils, >015mm thick.",Kg,18324.389972,37631.976275,0.037632,7018.702
74091900,"Plates, sheets and strip, of refined coppe  , uncoiled, >015mm thick.",Kg,5,20.162891,0.00002,3.827
74092900,"Plates, sheets and strip, of brass, uncoil  d, >015mm thick.",Kg,20,17.799211,0.000018,3.32
74093100,"Plates, sheets and strip, of bronze, in co  ls, >015mm thick",Kg,39.09,98.608039,0.000099,18.392
74101100,"Foil, not backed, of refined copper, =<01 5 m thick.",Kg,19,30.500419,0.000031,5.802
74102100,"Foil, backed with paper, paperboard, plast  c, of refined copper, =<015mm thic",Kg,0.02,0.13012,0,0.025
74111000,Tubes and pipes of refined copper,Kg,20971.140047,49055.787481,0.049056,10837.891
74112100,Tubes and pipes of copper-zinc base alloys  (brass).,Kg,492,1757.30075,0.001757,427.091
74112900,"Tubes and pipes of copper alloys, nes",Kg,11110.200195,25092.15666,0.025092,4992.389
74121000,Tube or pipe fittings of refined copper,Kg,721.130005,1999.883578,0.002,486.19
74122000,Tube or pipe fittings of copper alloys,Kg,5180.625974,8669.656757,0.00867,1908.691
74130000,"Stranded wire, cables, plaited bands & the  like of copper, not electrically insu",Kg,1380.440025,2528.149511,0.002528,109.268
74151000,"Nails and tacks, drawing pins, staples, et  , of copper or partly copper.",Kg,0.22,1.29991,0.000001,0.391
74152100,"Washers of copper, not threaded (including  spring washers).",Kg,56.8718,85.220089,0.000085,25.319
74152900,"Non-threaded articles such as rivets, cott  rs, cotter-pins of copper",Kg,8.142,28.15503,0.000028,8.441
74153300,Screws; bolts and nuts of copper  .,Kg,314.870003,777.121066,0.000777,233.086
74153900,"Threaded articles of copper, nes  .",Kg,888.672001,893.813245,0.000894,208.96
74181000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",Kg,38529.896555,35342.460658,0.035342,10404.978
74182000,Sanitary ware and parts thereof of copper,Kg,3142.355999,1884.990647,0.001885,671.384
74192000,"Cast, moulded, stamped or forged, but not further worked",Kg,1059,1113.86882,0.001114,333.67
74198000,Other article of copper,Kg,23914.238002,7452.225074,0.007452,706.412
75021000,"Unwrought nickel, not alloyed",Kg,1596,649.630004,0.00065,157.929
75022000,Unwrought nickel alloys,Kg,2665,934.929172,0.000935,227.255
75051200,"Bars, rods and profiles, of nickel alloys",Kg,114.349998,516.873438,0.000517,125.667
75052200,Wire of nickel alloys,Kg,3.41,27.00101,0.000027,6.566
75061000,"Plates, sheets, strip and foil of nickel,   ot alloyed",Kg,93,137.963842,0.000138,41.323
75062000,"Plates, sheets, strip and foil of nickel a  loys",Kg,40.799999,452.112125,0.000452,135.473
76011000,"Unwrought aluminium, not alloyed  .",Kg,2335423.900002,1319298.783906,1.319299,46098.625
76012000,"Unwrought aluminium, alloyed  .",Kg,150232,89158.264,0.089158,11590.706
