HSCode,Description,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
62042200,Women's or girls' ensembles of cotton   .,PCS,26,6.87955,0.000007
62043200,Women's or girls' jackets and blazers of c  tton.,PCS,19196,7792.53238,0.007793
62044200,Women's or girls' dresses of cotton   .,PCS,250060,90645.77883,0.090646
62044300,Women's or girls' dresses of synthetic fib  es,PCS,1589,103.21807,0.000103
62044900,"Women's or girls' dresses of other textile  , nes",PCS,43,11.46867,0.000011
62045200,Women's or girls' skirts and divided skirt   of cotton,PCS,36427,14940.86128,0.014941
62045300,Women's or girls' skirts and divided skirt   of synthetic fibres.,PCS,264,30.10392,0.00003
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",PCS,594840,257450.00884,0.25745
62052000,Men's or boys' shirts of cotton   .,PCS,53764,43810.62059,0.043811
62053000,Men's or boys' shirts of man-made fibres  . .,PCS,19138,18262.84225,0.018263
62059000,"Men's or boys' shirts of other textiles ma  erials, nes",PCS,1376,925.54672,0.000926
62063000,"Women's or girls' blouses, shirts, shirt-b  ouse of cotton",PCS,620,368.78591,0.000369
62069000,"Women's or girls' blouses, shirts, shirt-b  ouse of other textiles, nes",PCS,114,494.80325,0.000495
62092000,Babies' garments and clothing accessories   f cotton.,PCS,219,300.33245,0.0003
62099000,"Babies' garments and clothing accessories   f other textiles, nes",PCS,981,433.28845,0.000433
62114220,"Saree, Lungi & Dhoti women's or girls' of cotton",PCS,112,68.54902,0.000069
62114290,"Other garments, women's or girls of cotton  .",PCS,26,0.046,0
62114990,Other garments of other textiles material,PCS,28677,4987.50826,0.004988
62141000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of silk or silk waste.",PCS,330,98.548,0.000099
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",PCS,389363,349056.53785,0.349057
62143000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of synthetic fibres",PCS,3,1.8004,0.000002
62144000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of artificial fibres",PCS,287,312.87363,0.000313
62171000,"Other made up clothing accessories, nes",PCS,5950,3293.10024,0.003293
62179000,"Parts of garments or of clothing accessori  s, other than those of heading 6212,",PCS,1302,400.01629,0.0004
63012000,"Blankets (excl electric blankets) and tra v lling rugs, of wool or fine animal ha",PCS,1633,20823.1012,0.020823
63013000,"Blankets (excl electric blankets) and tra v lling rugs, of cotton",PCS,175,407.06527,0.000407
63019000,"Other blankets and travelling rugs, nes   .",PCS,1407,6844.49601,0.006844
63041900,Bedspreads (excl knitted or crocheted)   .,PCS,4359,1112.06891,0.001112
63049100,"Knitted or crocheted furnishing articles,   es",PCS,750,136.854,0.000137
63049210,Cushion cover of cottion not knitted or croacheted,PCS,335,182.55812,0.000183
63051000,"Sacks and bags, used for packing goods, of  jute or of other textile bast fibres",Kg,236283,60482.67325,0.060483
63052000,"Sacks and bags, used for packing goods, of  cotton",Kg,3132.3,9513.77748,0.009514
63053300,"Sacks and bags,used for packing goods, of   olyethylene or polypropylene strip",Kg,5472.299805,2041.42512,0.002041
63061900,"Tarpaulins, awnings and sunblinds, of othe   textiles materials, nes.",PCS,1,1.8,0.000002
63071000,"Floor-cloths, dish-cloths, dusters and sim  lar cleaning cloths.",PCS,123,524.61281,0.000525
63079010,"Cloth, cut into triangular shape in the fo  m to cover umbrella ribs.",PCS,9977,15008.70805,0.015009
63079090,Others made up textile article,PCS,44518,16544.13161,0.016544
63090000,Worn clothing and other worn articles,Kg,1500,150,0.00015
63101000,"Sorted Used or new rags,scrap twine, cordage,rope&cable&worn out article of twine etc",Kg,17254,1383.88263,0.001384
64019900,Other waterproof footwear (not covering the ankle),PAIR,1452,755.04,0.000755
64029900,"Other footwear, nes, not covering the ankle, of rubber or plastics",PAIR,293404,84177.21355,0.084177
64035900,"Footwear with leather soles and uppers, not covering the ankle",PAIR,468,18.04257,0.000018
64041900,"Sports footwear, with rubber or plastic soles and textile uppers",PAIR,450637,255709.19219,0.255709
64042000,Footwear with outer soles of leather or composition leather,PAIR,1395,788.26316,0.000788
64052010,Other footware with uppers of cotton textile materials,PAIR,3434,6553.0645,0.006553
64059000,"Footwear, nes",PAIR,3277,5701.32588,0.005701
65020000,"Hat-shapes, plaited or made by assembling   trips of any material",PCS,507,337.41147,0.000337
65050019,Other hair nets,Kg,9.67,167.74964,0.000168
65050090,Other cap,PCS,18119,26249.14163,0.026249
67029090,"Artificial flowers, foliage, etc and artic  es thereof of other materials",Kg,309.119995,1681.50238,0.001682
67041100,Complete wigs of synthetic textile materia  s,Kg,9.45,45.87366,0.000046
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair",Kg,29.6,3691.35545,0.003691
67049000,"Wigs, false beards, eyebrows, etc, nes of   ther materials",Kg,13.8,1727.02817,0.001727
68029100,"Marble, travertine and alabaster, worked  .",Kg,22740,2882.45125,0.002882
68043000,Hand sharpening or polishing stones   .,Kg,0.6,6.8418,0.000007
68101190,Other Building blocks and bricks,PCS,246153,10357.46788,0.010357
68159900,"Articles of stone or other mineral substan  es, nes.",Kg,230,4.16367,0.000004
69029000,"Refractory bricks, blocks, tiles, etc, nes",Kg,112890,254.00249,0.000254
69072100,Of a water absorption coefficient by weight not exceeding 0.5 %,SQM,6052.319946,2759.44368,0.002759
69074000,Finishing Ceramics,SQM,6962.319885,2200.512,0.002201
69120000,"Ceramic tableware, kitchenware, other hous  hold articles (excl porcelain or chin",PCS,92,44.96878,0.000045
69141000,"Ceramic articles, nes, of porcelain or chi  a",PCS,2450,1385.67391,0.001386
69149000,"Ceramic articles, nes (excl porcelain or  c ina).",PCS,463,92.93827,0.000093
70010000,"Cullet and other waste and scrap of glass, excluding glass from cathode ray tubes or",Kg,3369510,38698.3,0.038698
70071900,"Toughened (tempered) safety glass, nes",SQM,3300.480003,7377.72373,0.007378
70109000,"Carboys, bottles, flasks, jar, pot, phials  etc of glass, nes",GRO,3.84,4.6128,0.000005
70131000,"Glass-ceramic objects, used for table, kitchen, toilet, office, indoor decoration",PCS,324861,46941.76025,0.046942
70139900,"Other -  glassware, nes",PCS,20435,3122.468,0.003122
70179000,"Laboratory, hygienic or pharmaceutical gla  sware, nes",Kg,0.7,213.45878,0.000213
70181010,"Bangles,tika ,tikuli & beds",GRO,13054.019999,1042.70409,0.001043
70181020,Glass beads (Pote),Kg,1659.187,1699.7413,0.0017
70189010,Glass statuette and ornamental articles,PCS,1453,261.06761,0.000261
70189090,"Glass statuettes and other ornaments of la  p-worked glass,  nes",Kg,44,6.0943,0.000006
70200000,"Other articles of glass, nes  .",PCS,385,214.81985,0.000215
71011000,"Natural pearls (excl strung, mounted or s e )",Kg,454,29.90857,0.00003
71131100,Articles of jewellery and parts thereof of silver,GRM,31634.941548,17925.21894,0.017925
71141100,Articles of goldsmiths' or silversmiths' w  res of silver,GRM,3000,8.60313,0.000009
71171900,"Imitation jewellery of base metal (incl p l ted), nes",Kg,884.029999,12014.26728,0.012014
71179000,Imitation jewellery (excl of base metal)  n s,Kg,5045.187,11224.16979,0.011224
72042100,Waste and scrap of stainless steel,Kg,400325,31081.712,0.031082
72044900,"Ferrous waste and scrap, nes  .",Kg,17475,419.4,0.000419
72092800,"Flat/cold-rolled iron/steel, not in coils,  width >=600mm, < 05mm thickness",Kg,1140368,147305.74028,0.147306
72104100,"Flat-rolled iron/steel,width >=600mm, plat  dwith zinc,(exclelectro-plated)cor",Kg,368896,53901.29769,0.053901
72104900,"Flat-rolled iron/steel,width >=600mm, plat  d or coated with zinc(exclelectro-pla",Kg,1247911,176458.86819,0.176459
72106100,"Rolled iron/steel, width >=600mm, plated o   coated with aluminium-zinc alloys",Kg,410516,54891.738,0.054892
72107000,"Rolled iron/steel, width >=600mm, painted,  varnished or coated with plastics",Kg,1682583,256587.87045,0.256588
72112300,"Flat/cold-rolled iron/steel, width <600mm,  containing by weight < 025% carbon",Kg,311750,40296.2575,0.040296
72142000,"Iron/steel bars & rods, hot-rolled,twis ted  or with deformations from rolling",Kg,332550,27727.232,0.027727
72165000,"Angles, shapes and sections of iron/steel,  not further worked than hot-rolled,",Kg,114.22,48.37,0.000048
72172000,"Wire of iron or non-alloy steel,plated or   oated with zinc.",Kg,327479,39195.41442,0.039195
73063000,"Other tubes,pipes&hollow profile, welded,o   circular crosssection,of iron/nonall",Kg,85109.700012,8410.5392,0.008411
73066100,"Tube, pipesa, welded, of non ciruclar cros  section of square or rectangular cros",Kg,98.761002,9.48106,0.000009
73069090,"Others welded, of non-circular cross-section pipe",Kg,287470,22343.74975,0.022344
73083000,"Doors, window-frames and thresholds for do  rs of iron or steel.",Kg,245.420002,137.91501,0.000138
73089000,"Structures and parts of structures, nes, o   iron or steel",Kg,3655.52002,1767.22001,0.001767
73090000,"Reservoirs, tanks (excl for gas) of ir on o  steel, >300 l",PCS,11,292.68659,0.000293
73121000,"Stranded wire, cables of iron or steel, no   electically insulated",Kg,48920,1061.1,0.001061
73144100,"Iron/steel cloth, grill, netting & fencing   nes, plated or coated with zinc.",Kg,98987.016479,14465.4816,0.014465
73181900,"Threaded articles, nes, of iron or steel  .",Kg,23.8,50.48499,0.00005
73231000,"Iron or steel wool, pot scourers, scouring  or polishing pads, gloves",Kg,11660,1636.07863,0.001636
73239100,"Table, kitchen or household articles of  ca t iron, not enamelled",Kg,22,4.6158,0.000005
73239300,"Table, kitchen or household articles of  st inless steel",Kg,1054542.279835,1159064.46165,1.159064
73239400,"Table, kitchen or household articles of  ir n or steel, enamelled",Kg,22,4.6158,0.000005
73239900,"Table, kitchen or household articles of  ir n or steel, nes.",Kg,5771,766.57578,0.000767
73269000,"Articles of iron or steel, nes   .",Kg,25,6.34257,0.000006
74032100,"Brass, unwrought  .",Kg,15.16,14.25145,0.000014
74032900,"Copper (excl master alloys or heading 74 05  nes, unwrought.",Kg,16,8.78202,0.000009
74091100,"Plates, sheets and strip, of refined coppe  , in coils, >015mm thick.",Kg,2423,5192.648,0.005193
74092100,"Plates, sheets and strip, of brass, in coi  s, >015mm thick.",Kg,66466,110750.48,0.11075
74093100,"Plates, sheets and strip, of bronze, in co  ls, >015mm thick",Kg,2156,5019.168,0.005019
74181000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",Kg,55401,11626.99467,0.011627
74192000,"Cast, moulded, stamped or forged, but not further worked",Kg,2,34.21376,0.000034
74198000,Other article of copper,Kg,29609.689899,3608.91449,0.003609
76020000,Aluminium waste and scrap,Kg,28210,6068.4,0.006068
76041090,"Other bars, rods of aluminium, not alloyed",Kg,13173.02002,8219.9645,0.00822
76051100,"Wire of aluminium, not alloyed, maximum cr  ss-sectional dimension >7mm",Kg,159161,90960.156,0.09096
76052100,"Wire of aluminium alloys, maximum cross-se  tional dimension >7mm",Kg,739475,428319.867,0.42832
76071100,"Aluminium foil, =<02mm thick, not backed,   olled but not further worked.",Kg,0.4,1,0.000001
76151000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",PCS,3039,1433.03016,0.001433
78019900,Unwrought lead (excl refined and containi n  antimony),Kg,213375,67376.931,0.067377
79020000,Zinc waste and scrap  .,Kg,35030,6322.72,0.006323
82011010,Spades (Kodalo),PCS,4308,1309.632,0.00131
82011090,"Shovels; hand tools, used in agriculture, horticulture or forestry",PCS,21390,6184.32,0.006184
82119200,Knives with fixed blades (excl table kniv e ),PCS,978,188.30575,0.000188
82122000,Safety razor blades (incl razor blades bl a ks in strips),PCS,270000,189607.952,0.189608
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",Kg,10,8.3633,0.000008
83061090,"Other type  of bells, gongs and the like  .",Kg,2420.380005,2862.13935,0.002862
83062110,Statuettes of plated with precious metal,Kg,10376.649997,13500.29672,0.0135
83062190,Other ornaments of plated with precious metal,Kg,839.270003,869.63643,0.00087
83062910,Other statuettes,Kg,12725.68996,11330.32847,0.01133
83062990,Other ornaments,Kg,174.12,36.1358,0.000036
83099000,"Others - Stoppers, caps and lids (excl cr o n corks),a of base metal.",PCS,28000,7.688,0.000008
84195000,Heat exchange units   .,PCS,1,3042.666,0.003043
84295900,"Self-propelled bulldozers, excavators,  nes .",PCS,4,10465.25,0.010465
85163200,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,2,5.33085,0.000005
85167990,Other electro thermic appliances,PCS,32244,11382.8785,0.011383
85176220,Networking switch,PCS,6,114.62584,0.000115
85183000,"Headphones, earphones whether or not combi  ed with a microphone & setmore louds.",PCS,2,4.25507,0.000004
85211000,"Video recording or reproducing apparatus,   ith or without video tuner,magnetic t",PCS,2,49.59239,0.00005
85234100,Optical media Unrecorded  .,PCS,2,1537.2,0.001537
85351000,"Fuses, >1000 V   .",PCS,42,814.16906,0.000814
85354000,"Lightning arresters, voltage limiters and   urge suppressors, >1000 V",PCS,42,291.77647,0.000292
85366900,"Plugs and sockets, =<1000 V   .",PCS,13,2.31409,0.000002
85389000,"Parts of apparatus of 8535 to 8537, nes   .",PCS,3,1.21848,0.000001
87081000,Bumpers and parts thereof   .,PCS,1,1.7519,0.000002
87089900,Other parts & accessories of motor vehicle   of 8701 to 8705 nes.,PCS,2,3.048,0.000003
88073010,"Other parts of airplanes, helicopters or unmanned",PCS,12,25652.75422,0.025653
90013010,Intraocular contact lenses   .,PCS,16630,9268.21979,0.009268
90041000,Sunglasses   .,PCS,6,5.64697,0.000006
90049000,"Spectacles, goggles and the like (excl su n lasses)",PCS,8,6,0.000006
91021100,"Electrically operated wrist-watches, mecha  ical display only (excl of precious m",PCS,2,2.3052,0.000002
92021000,"String musical instruments played with a b  w (eg Guitars, violins, harps)",PCS,240,36.931,0.000037
92029000,"String musical instruments, nes   .",PCS,1,3.8429,0.000004
92059000,Other wind musical instruments (excl brass wind),PCS,4,4,0.000004
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",PCS,172869,70972.92692,0.070973
92079000,"Musical instruments, nes, with electrically  produced or amplified sound.",PCS,230,69,0.000069
92099900,"Parts and accessories of musical instrumen  s, nes",PCS,100,7.056,0.000007
93070000,"Swords, cutlasses, bayonets, lances and si  ilar arms and parts thereof",PCS,492,1973.11559,0.001973
94015200,"Seats of cane, osier, bamboo or similar materials Of bamboo",PCS,1770,683,0.000683
94036000,"Wooden furniture, nes   .",PCS,123,1572.8969,0.001573
94038900,"Furniture of other materials, (excel bamboo & rattan)",PCS,2420,1031.7,0.001032
94041000,Mattress supports   .,PCS,1,0.035,0
94043000,Sleeping bags  . .,PCS,1,1,0.000001
94049000,"Articles of bedding, stuffed, etc (excl m a tresses and sleeping bags)",PCS,1137,10413.77885,0.010414
94052900,"Other Electric table, desk, bedside or floor-standing luminaires",PCS,6,5.3662,0.000005
94054200,"Other electric luminaires, designed for use solely with (LED) light sources",PCS,190952,15649.232,0.015649
94055000,None-electrical luminaires and lighting fittings,PCS,40,10.6687,0.000011
95030000,"Tricycles, scooters, pedal cars and simila   wheeled toys; dolls' carriages; doll",PCS,244,92.27805,0.000092
95051010,Articles for Christmas festivities of felt (Jamoth),Kg,4050,10152.585,0.010153
95051090,Articles for christmas festivities of other (excel felt),Kg,19535.431862,130285.74979,0.130286
95059000,"Festive, carnival or other entertainment a  ticles, nes",Kg,563.41,381.12601,0.000381
96031000,"Brooms and brushes, of twigs or other vege  able materials bound together",PCS,240224,7095.94743,0.007096
96062200,"Buttons of base metal, not covered with te  tile material",Kg,2,339.4965,0.000339
96062900,"Buttons, nes",Kg,14.277,578.72659,0.000579
96081000,Ball-point pens   .,PCS,1,5,0.000005
96091000,"Pencils and crayons, with leads encased in a sheath",PCS,300,13.7592,0.000014
96110000,"Date, sealing or numbering stamps, etc, fo   use in the hand",PCS,1,0.1,0
96170010,Vaccum Flask complete,PCS,195,60.1419,0.00006
96170020,Vaccum Vessels complete,PCS,562,551.28,0.000551
96190010,Sanitary towel (Pad),PCS,3441430,14174.68769,0.014175
96190020,Napkins (Diapers),Kg,53853.485491,13522.2206,0.013522
97012100,"Paintings, drawings and pastels of an age exceeding 100 years",PCS,399,249.06272,0.000249
97019100,"Other Paintings, drawings and pastels (excel >=100 years)",PCS,47216,20593.16483,0.020593
97019900,Other than hand-painted or decorated manufactured articles (excel >=100 years),PCS,40650,2914.1842,0.002914
97030000,"Original sculptures and statuary, in any m  terial",PCS,3148,5940.74352,0.005941
97031000,"Original sculptures and statuary, in any material Of an age exceeding 100 years",PCS,10,7.603,0.000008
97039000,Other original sculptures and statuary in any materials excel >=100 years),PCS,23,1043.14813,0.001043
