HSCode,Description,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
17031000,Cane molasses resulting from the extraction  or refining of sugar,Kg,3092110,57307.60593,0.057308
17049000,"Sugar confectionery (including white chocolate), not containing cocoa",Kg,67628.88063,23418.66492,0.023419
18063200,"Not filled (Chocolate, etc, containing cocoa in blocks, slabs or bars)",Kg,3.5,5.3851,0.000005
18069090,"Other Chocolate, etc, containing cocoa, not in blocks, slabs or bars, nes.",Kg,1691.799951,1028.71124,0.001029
19021100,Uncooked pasta containing eggs not stuffed,Kg,64602.218903,32898.12045,0.032898
19023000,"Other pasta, nes",Kg,1333864.288468,352848.46621,0.352848
19042000,Prepared foods obtained from unroasted cereal flakes or mixtures of unroasted & r,Kg,16867,1436.49417,0.001436
19049020,Flattened rice(Chiura),Kg,245501.575195,112413.744,0.112414
19053100,Sweet biscuits,Kg,1841.450012,721.47052,0.000721
19053200,Waffles and wafers,Kg,475.200012,699.20331,0.000699
19059020,"Kurkure, Kurmure, Lays, Cheeseballs",Kg,62066.430272,31430.7082,0.031431
19059030,Papad,Kg,40,14.0576,0.000014
19059050,Biscuits not specified elsewhere,Kg,17585.220013,5845.48024,0.005845
19059089,Other prepared crisp savoury food products,Kg,10044,3864.20775,0.003864
19059090,Other bakers' wares nes,Kg,10457.599976,2738.9383,0.002739
20019000,"Other vegetables, fruits, etc, preserved by vinegar or acetic acid, nes",Kg,19381.420288,8958.44975,0.008958
20041090,"Other potatoes prepared or preserved otherwise than by vinegar or acetic acid, froz",Kg,6,0.30408,0
20091100,"Frozen orange juice, unfermented, not containing added spirit",LTR,1025602.440166,113903.92603,0.113904
20092100,Grapefruit juice of a brix value <=20,LTR,65437.199989,4943.73022,0.004944
20094100,Pineapple juice of a brix value <=20,LTR,321151.800069,38285.07013,0.038285
20095000,"Tomato juice, unfermented, not containing added spirit",LTR,31500,2436.83999,0.002437
20097100,Apple juice of a brix value <=20  .,LTR,577041.416008,62882.05322,0.062882
20099000,"Mixtures of juices, unfermented, not containing added spirit.",LTR,4564326.119157,417289.10189,0.417289
21031000,Soya sauce,Kg,744,151.76633,0.000152
21033000,"Mustard flour and meal, prepared mustard",Kg,149,36.91981,0.000037
21039010,"Sauces and sauce preparations; mixed condiments and seasonings, nes",Kg,10385.280029,10755.77268,0.010756
21039020,Pickle (Achar),Kg,50957.300537,36005.1995,0.036005
21039090,Other Sauces and preparations,Kg,21888.880859,8693.40819,0.008693
21061000,Protein concentrates and textured proteinvsubstences,Kg,10348,1650.01383,0.00165
21069010,"Dalmoth, Namkeen, Bhujiya and Chamena (titbits)",Kg,56165.3,21328.4769,0.021328
21069091,Food Supplements,Kg,93.76,141.30549,0.000141
21069092,Herbal Tea,Kg,5733.439941,17524.86,0.017525
21069094,Soya chunks (Soyabody  Masyaura),Kg,11701.5,7746.15748,0.007746
21069099,Other Food Preparations,Kg,209705.029055,52692.09394,0.052692
22021000,"Waters (incl. mineral and aerated), with added sugar, sweetener, etc.",LTR,9682,1332.46619,0.001332
22029910,Energy Drink,LTR,540,167.475,0.000167
22029990,Other drinks (added sugar or other sweetening matter or flavoured),LTR,8856,42.56,0.000043
22030010,Beer made from malt ( upto 5% alcohol),LTR,9420,2294.898,0.002295
22030020,Beer made from malt ( more than 5% alcohol),LTR,32400,2419.2,0.002419
22083092,Whiskies of an alcoholic strength 25UP (42.8%),LTR,1395,2101.05,0.002101
22084010,Alcoholic fluids including spirits used as raw materials of Rum and other spirit,LTR,8010,12200.031,0.0122
22084092,Rum and other spirits of an alcoholic strength 25UP (42.8%),LTR,622.800003,639.45,0.000639
22086092,Vodka of an alcoholic strength 25UP (42.8%),LTR,1800,1187.55,0.001188
23024010,"Brans, sharps and other residues of other cereals",Kg,3211245,157653.98925,0.157654
23024090,"Other-Brans, sharps and other residues except residue of Cashew and Pallets",Kg,2468885,139935.25856,0.139935
23033000,Brewing or distilling dregs and waste,Kg,444500,577.85,0.000578
23040000,"Oil-cake and other solid residues, of soyabean",Kg,816030,72767.1095,0.072767
23064100,Oil-cake of low erucic acid rape or colza  seeds,Kg,8122000,361368.4,0.361368
23064900,Other oil-cake & other solid residues rape  or colza seeds,Kg,44000,1900.8,0.001901
23091000,"Dog or cat food, put up for retail sale",Kg,273048.12999,531265.70436,0.531266
24039910,"Jarda, Khaini, Snuff, Ghutka and similar preparations containing chewing tobacco",Kg,10871,5805.72405,0.005806
25181000,Dolomite not calcined or sintered,Kg,750,3,0.000003
25210000,Limestone flux; limestone and other calcareous stone,Kg,935000,3293.6,0.003294
25231000,Cement clinkers,TNE,346211.830013,89537.29155,0.089537
25232900,Portland cement (excl white),TNE,21628.489996,146620.54044,0.146621
25261000,"Natural steatite, talc, Not crushed, not powdered",Kg,514170,7198.38,0.007198
26190000,"Slag, dross, sealings & other waste, from the manufacture of iron or steel",TNE,3500,56960,0.05696
26201900,Ash and residues containing mainly zinc (excl hard zinc spelter),Kg,28055,1167.088,0.001167
27060000,"Tar distilled from coal, lignite or peat, and other mineral tars",Kg,105090,5044.32,0.005044
27149000,Bitumen and asphalt; natural asphaltites and asphaltic rocks,Kg,274,1753.6,0.001754
28051900,Alkali & alkaline -earth metals (excl sodium and calcium),Kg,0.005,4,0.000004
29232000,Lecithins and other phosphoaminolipids,Kg,29930,1532.416,0.001532
30029000,Others,Kg,0.0001,749.21594,0.000749
30039010,Homoeopathic medicaments(pure ayurvedic an yunani),Kg,52741.3,31664.6193,0.031665
30039049,"Chyanwanparsh, Dashamularist, Ashokarista, kalpasundari, arjunarista similar products",Kg,17749.400269,46993.04812,0.046993
30041000,"Medicaments of penicillins or streptomycin, for retail sale",Kg,794.288,1176.06934,0.001176
30049010,Homoeopathic medicaments(Pure ayurvedican yunani),Kg,5,12.36852,0.000012
30049090,Other - Medicaments put up in measured doss or in forms or packing for retail sale,Kg,7.5,7.6475,0.000008
30059020,Bandage,Kg,5368,1982.6448,0.001983
32019090,Other tanning extracts of vegetable or  gin nes.,Kg,132200,31348.704,0.031349
32030010,Khayar Kachchha  .(Extract of cutch),Kg,156000,6110,0.00611
32131000,Colours in sets,Kg,35,3.19326,0.000003
32159000,"Other ink, whether or not concentrated or solid, nes",Kg,68,25.5,0.000025
33012900,"Essential oils (incl concretes and absolutes), nes.",LTR,166.599998,1955.2,0.001955
33019000,"Concentrates of essential oils in fats  aquous distillates, extracted oleoresi",LTR,527.09,14668.8728,0.014669
33049910,Face Cream,Kg,19,107.24183,0.000107
33049990,Other beauty or make up preparetions,Kg,529.000001,552.6634,0.000553
33051000,Shampoos,LTR,527,33.04664,0.000033
33053000,Hair lacquers,Kg,1,13.90516,0.000014
33059010,Hair Oil,LTR,33,90.4615,0.00009
33061000,Dentifrices,Kg,136660,100145.34375,0.100145
33074100,Agarbatti and other odiferous preparations which operate by burning.,Kg,16673.294965,5868.00725,0.005868
34011900,"Other Type of Soaps in the forms of bars, cakes, moulded pieces or shapes",Kg,5446,711.014,0.000711
35069100,Adhesives based on polymers of heading 39.01  to 39.13 or on rubber,Kg,2968,432.37238,0.000432
38029000,Activated natural mineral products; animal  black,Kg,76490,367.152,0.000367
38051000,"Gum, wood or sulphate turpentine oils",LTR,76000,18732.8,0.018733
