HS_Chapter,Description,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion,Trade_Balance_Rs_Thousands,Trade_Balance_Rs_Billion,Imports_Revenue_Rs_Thousands
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",543670.257511,0.54367,197298.57305,0.197299,-346371.684461,-0.346372,139571.484
83,Metal; miscellaneous products of base metal,644892.331224,0.644892,28606.22477,0.028606,-616286.106454,-0.616286,189241.403
84,"boilers, machinery and mechanical appliances; parts thereof",10975730.35379,10.97573,13507.916,0.013508,-10962222.43779,-10.962222,1868103.629
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",10115171.660273,10.115172,14203.36075,0.014203,-10100968.299523,-10.100968,1889166.69
86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",5220.137258,0.00522,0,0,-5220.137258,-0.00522,1563.633
87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11721104.451387,11.721104,4.7999,0.000005,-11721099.651487,-11.7211,7934834.744
88,"Aircraft, spacecraft and parts thereof",1664128.57391,1.664129,25652.75422,0.025653,-1638475.81969,-1.638476,243239.27
89,"Ships, boats and floating structures",2211.37375,0.002211,0,0,-2211.37375,-0.002211,537.365
90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2000633.148671,2.000633,9279.86676,0.00928,-1991353.281911,-1.991353,325526.344
91,Clocks and watches and parts thereof,198171.443405,0.198171,2.3052,0.000002,-198169.138205,-0.198169,55728.222
92,Musical instruments; parts and accessories of such articles,21636.169898,0.021636,71093.75682,0.071094,49457.586922,0.049458,6421.13
93,Arms and ammunition; parts and accessories thereof,136127.504,0.136128,1973.11559,0.001973,-134154.38841,-0.134154,0
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",735363.874133,0.735364,29367.67765,0.029368,-705996.196483,-0.705996,294833.698
95,"Toys, games and sports requisites; parts and accessories thereof",246701.739363,0.246702,140911.73885,0.140912,-105790.000513,-0.10579,78130.097
96,Miscellaneous manufactured articles,578810.997543,0.578811,36341.35991,0.036341,-542469.637633,-0.54247,163902.147
97,Works of art; collectors' pieces and antiques,215.601499,0.000216,30747.9064,0.030748,30532.304901,0.030532,54.028
